TentRepDisp(cm), TentRepAcc(g)
-1.172100149973038033e-02,-7.147403947858024147e-04
-1.183932318889416822e-02,-8.261773683018755303e-04
-1.192441996573576080e-02,-9.000703469860960992e-04
-1.197007645562942271e-02,-9.250638441283093013e-04
-1.196905705211367271e-02,-8.934922426650676900e-04
-1.191366938276453534e-02,-8.098890862280485161e-04
-1.179698663760325728e-02,-6.833534614747873532e-04
-1.161299849725939970e-02,-5.270308188999959370e-04
-1.135711735027296332e-02,-3.541599975746421904e-04
-1.102898086228373473e-02,-1.655940299401419732e-04
-1.063537724382937130e-02,4.088278377078655938e-05
-1.019249330737216977e-02,2.612443175326508837e-04
-9.727234430486930358e-03,4.900880117022849347e-04
-9.274874554968256038e-03,7.152911938469717380e-04
-8.874686689731811282e-03,9.203955982864681779e-04
-8.567163471876618544e-03,1.098730097564270050e-03
-8.390623387817087303e-03,1.242174368119910175e-03
-8.375775476939739672e-03,1.329725385210477799e-03
-8.540705483552171393e-03,1.340968948072204835e-03
-8.885744950586383153e-03,1.256405832567866363e-03
-9.390026920653030476e-03,1.064630672110306433e-03
-1.001439012850311762e-02,7.839619672952465165e-04
-1.070741849894183730e-02,4.467651923991889295e-04
-1.141052167613479731e-02,8.044234931889310660e-05
-1.206379077167999206e-02,-2.848355331512439576e-04
